y,flood,waste,population,nobs,r2,adjr2,aic,bic
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_safe,218,0.478837484278805,0.47153146770327425,4390.639101447316,4404.177081698472
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_median,224,0.47690111225267395,0.4697679456015741,4530.19191410854,4543.83849831596
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_safe,218,0.47511291863949334,0.4677546885269629,4414.90229883237,4428.440279083527
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_median,224,0.469051798523609,0.4618115957762037,4456.2353755332715,4469.881959740692
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_safe,218,0.46705047606583683,0.459579221057414,4342.951388664733,4356.489368915889
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_population,3_fb_baseline_median,224,0.3975787087157533,0.38936387292551355,4538.893817375202,4552.5404015826225
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_population,3_fb_baseline_safe,218,0.3942272930783628,0.38573515232712496,4423.435658257138,4436.973638508294
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_median,224,0.34240835565018357,0.3334411968635952,1631.4273867677125,1645.0739709751326
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_median,224,0.34240733736841333,0.33344016469616444,1631.4277336318219,1645.074317839242
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,3_fb_baseline_median,248,0.3414312822613096,0.3333341258956699,1793.0343977043176,1807.0881126889776
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_median,218,0.33808084247086545,0.32880160194475616,1591.3832447746609,1604.9212250258172
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_safe,218,0.33808084247086545,0.32880160194475616,1591.3832447746609,1604.9212250258172
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_safe,218,0.33808084247086545,0.32880160194475616,1591.3832447746609,1604.9212250258172
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_safe,218,0.33807980869130194,0.3288005536729558,1591.3835852448926,1604.921565496049
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_median,218,0.33807980869130183,0.3288005536729556,1591.3835852448924,1604.9215654960487
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_safe,218,0.33807980869130183,0.3288005536729556,1591.3835852448924,1604.9215654960487
