quadkey,hour,2_threshold_lower,2_n_pairs,2_low_confidence
30011010221322,16,-3.5,3,False
30011010221323,16,-3.5,3,False
30011010221330,16,-3.5,3,False
30011010221331,16,-3.5,3,False
30011010221332,16,-3.5,3,False
30011010221333,16,-3.5,3,False
30011010222011,16,-3.5,3,False
30011010222013,16,-3.5,3,False
30011010222031,16,-3.5,3,False
30011010222100,16,-3.5,3,False
30011010222101,16,-3.5,3,False
30011010222102,16,-3.5,3,False
30011010222103,16,-3.5,3,False
30011010222110,16,-3.5,3,False
30011010222111,16,-3.5,3,False
30011010222112,16,-3.5,3,False
30011010222113,16,-3.5,3,False
30011010222120,16,-3.5,3,False
30011010222121,16,-3.5,3,False
30011010222122,16,-3.5,3,False
30011010222123,16,-3.5,3,False
30011010222130,16,-3.5,3,False
30011010222131,16,-3.5,3,False
30011010222132,16,-3.5,3,False
30011010222133,16,-3.5,3,False
30011010222213,16,-3.5,3,False
30011010222231,16,-3.5,3,False
30011010222300,16,-3.5,3,False
30011010222301,16,-3.5,3,False
30011010222302,16,-3.5,3,False
30011010222303,16,-3.5,3,False
30011010222310,16,-3.5,3,False
30011010222311,16,-3.5,3,False
30011010222312,16,-3.5,3,False
30011010222313,16,-3.5,3,False
30011010222320,16,-3.5,3,False
30011010222321,16,-3.5,3,False
30011010222330,16,-3.5,3,False
30011010222331,16,-3.5,3,False
30011010222332,16,-3.5,3,False
30011010222333,16,-3.5,3,False
30011010223000,16,-3.5,3,False
30011010223001,16,-3.5,3,False
30011010223002,16,-3.5,3,False
30011010223003,16,-3.5,3,False
30011010223010,16,-3.5,3,False
30011010223011,16,-3.5,3,False
30011010223012,16,-3.5,3,False
30011010223013,16,-3.5,3,False
30011010223020,16,-3.5,3,False
30011010223021,16,-3.5,3,False
30011010223022,16,-3.5,3,False
30011010223023,16,-3.5,3,False
30011010223030,16,-3.5,3,False
30011010223031,16,-3.5,3,False
30011010223032,16,-3.5,3,False
30011010223033,16,-3.5,3,False
30011010223100,16,-3.5,3,False
30011010223101,16,-3.5,3,False
30011010223102,16,-3.5,3,False
30011010223103,16,-3.5,3,False
30011010223110,16,-3.5,3,False
30011010223111,16,-3.5,3,False
30011010223112,16,-3.5,3,False
