quadkey,ts_prefix,dt,hour,baseline,crisis,change_raw,2_threshold_lower,2_n_pairs,2_low_confidence,2_change_median,2_change_mad,2_change,2_is_anomaly,2_anomaly_direction
30011010230213,20240430_1600,2024-04-30 16:00:00,16,288.9796695233553,124.21982822242536,-164.75984130092996,-3.5,3.0,False,-13.940260613286284,12.554684387001714,-8.102776942695419,True,outflow
30011010232001,20240430_1600,2024-04-30 16:00:00,16,694.7275534640058,570.484078314179,-124.24347514982685,-3.5,3.0,False,7.065539576898118,18.998652036729027,-4.66180075628274,True,outflow
30011010232003,20240430_1600,2024-04-30 16:00:00,16,838.6495698497665,719.4590632803922,-119.19050656937429,-3.5,3.0,False,-9.08167286325056,10.157421979012383,-7.311738006773413,True,outflow
30011010232011,20240430_1600,2024-04-30 16:00:00,16,154.25031573191498,135.49438858895266,-18.75592714296232,-3.5,3.0,False,-3.800998258239275,1.8025652451663916,-5.595969166605435,True,outflow
30011010232012,20240430_1600,2024-04-30 16:00:00,16,450.11207853626667,436.34756346886775,-13.764515067398918,-3.5,3.0,False,-3.385216696978034,1.1852589532002185,-5.90658837205702,True,outflow
30011010232013,20240430_1600,2024-04-30 16:00:00,16,322.95756997258667,262.2842925975789,-60.673277375007785,-3.5,3.0,False,-4.930112797699792,0.19627037727144625,-191.56617024990138,True,outflow
30011010232020,20240430_1600,2024-04-30 16:00:00,16,1111.509634402733,1017.972531074846,-93.53710332788694,-3.5,3.0,False,9.549843367375615,13.153338220772866,-5.286273672803725,True,outflow
30011010232022,20240430_1600,2024-04-30 16:00:00,16,1028.6294987030878,987.0301112916692,-41.59938741141866,-3.5,3.0,False,10.260668604425518,4.139478154558674,-8.450245774135801,True,outflow
30011010232031,20240430_1600,2024-04-30 16:00:00,16,435.9842523327554,371.3057222763037,-64.67853005645168,-3.5,3.0,False,-5.413987949355658,1.1107862311303052,-35.987062614703014,True,outflow
30011010232103,20240430_1600,2024-04-30 16:00:00,16,80.53759816914086,70.16824307703547,-10.369355092105394,-3.5,3.0,False,1.8202007395563697,0.8451323413711407,-9.72848275468519,True,outflow
30011010232112,20240430_1600,2024-04-30 16:00:00,16,75.62023877475765,76.02450056486303,0.4042617901053802,-3.5,3.0,False,2.765616632192973,0.12302566447672802,-12.94635430552272,True,outflow
30011010232113,20240430_1600,2024-04-30 16:00:00,16,52.10246403308253,49.832377492506026,-2.270086540576507,-3.5,3.0,False,6.616748309852852,1.2519756052571225,-4.787769091861466,True,outflow
30011010232120,20240430_1600,2024-04-30 16:00:00,16,168.927179761774,152.52972913031752,-16.39745063145648,-3.5,3.0,False,-3.0799072178649567,1.4704650988330457,-6.10873596360505,True,outflow
30011010232121,20240430_1600,2024-04-30 16:00:00,16,148.61843704226465,131.99151781439545,-16.626919227869195,-3.5,3.0,False,1.8497050536513768,2.965532806763207,-4.202443166187079,True,outflow
30011010232200,20240430_1600,2024-04-30 16:00:00,16,896.6589996291071,851.2130564959733,-45.445943133133824,-3.5,3.0,False,22.940021262753817,12.781255943296173,-3.6089045700723705,True,outflow
30011010232202,20240430_1600,2024-04-30 16:00:00,16,497.0790122785733,470.2763211951532,-26.802691083420143,-3.5,3.0,False,-1.4395984120498042,2.3777496743261395,-7.194788497526586,True,outflow
30011012000110,20240430_1600,2024-04-30 16:00:00,16,232.8575755842474,155.87299905399672,-76.98457653025068,-3.5,3.0,False,-7.716701608179676,1.1924015570036772,-39.18242253250665,True,outflow
30011012000111,20240430_1600,2024-04-30 16:00:00,16,211.25662612651124,148.2307156896971,-63.025910436814144,-3.5,3.0,False,-2.4426362419810346,5.375227474607527,-7.602174724223849,True,outflow
30011012001000,20240430_1600,2024-04-30 16:00:00,16,225.97202066970095,155.7528978445193,-70.21912282518164,-3.5,3.0,False,4.04426308148436,0.11210234309154998,-446.82967735240794,True,outflow
30011012001001,20240430_1600,2024-04-30 16:00:00,16,178.81592421651243,123.73583576013216,-55.08008845638027,-3.5,3.0,False,3.644709818548506,2.3765993446112645,-16.666619271040137,True,outflow
30011010221133,20240501_0000,2024-05-01 00:00:00,0,176.46409422852423,149.7498606050487,-26.714233623475536,-3.5,3.0,False,-8.01161478342172,1.9761614179984122,-6.383545540724869,True,outflow
30011010221232,20240501_0000,2024-05-01 00:00:00,0,983.8237854656865,895.7107300593752,-88.11305540631122,-3.5,3.0,False,-29.932335631387446,1.1956335018985556,-32.821843337337064,True,outflow
30011010221233,20240501_0000,2024-05-01 00:00:00,0,962.765162232258,763.9506837350707,-198.81447849718734,-3.5,3.0,False,0.9849375932197972,11.040558216858585,-12.206330830917421,True,outflow
30011010221322,20240501_0000,2024-05-01 00:00:00,0,997.2174165996544,820.7690917022501,-176.4483248974043,-3.5,3.0,False,-31.011298322148377,27.39021916597858,-3.581470956130824,True,outflow
30011010222310,20240501_0000,2024-05-01 00:00:00,0,559.8839952757743,453.54004483604416,-106.34395043973012,-3.5,3.0,False,-15.708264644394376,6.209551906896991,-9.845117809717038,True,outflow
30011010222311,20240501_0000,2024-05-01 00:00:00,0,566.2892393416995,474.8599868263315,-91.42925251536798,-3.5,3.0,False,-16.88905027501994,13.527510316956295,-3.716675517747985,True,outflow
